频率(Hz),基准PSD(m2/s4/Hz),强化后PSD(m2/s4/Hz)
187.5000,4.10450809e+01,4.09536248e+01
187.9883,3.63526614e+01,3.62730372e+01
188.4766,4.73121109e+01,4.72111546e+01
188.9648,5.81239751e+01,5.80006843e+01
189.4531,5.76708754e+01,5.75485902e+01
189.9414,5.47771592e+01,5.46634201e+01
190.4297,3.80903654e+01,3.80127010e+01
190.9180,2.23488262e+01,2.23028803e+01
191.4062,2.07658766e+01,2.07225153e+01
191.8945,2.14187298e+01,2.13742348e+01
192.3828,2.82754127e+01,2.82186789e+01
192.8711,3.34567359e+01,3.33894303e+01
193.3594,4.96183507e+01,4.95219379e+01
193.8477,5.61103701e+01,5.60024198e+01
194.3359,5.34665480e+01,5.33646429e+01
194.8242,5.04096030e+01,5.03154196e+01
195.3125,3.90689506e+01,3.89953285e+01
195.8008,2.57128458e+01,2.56632926e+01
196.2891,3.20738812e+01,3.20151447e+01
196.7773,6.03180185e+01,6.02084602e+01
197.2656,7.70399260e+01,7.69025890e+01
197.7539,5.37569420e+01,5.36548186e+01
198.2422,8.58953654e+01,8.57450404e+01
198.7305,7.26970820e+01,7.25704545e+01
199.2188,3.12575790e+01,3.12016152e+01
199.7070,4.27068921e+01,4.26325767e+01
200.1953,5.13930274e+01,5.13041467e+01
200.6836,5.03065274e+01,5.02202745e+01
201.1719,5.06806444e+01,5.05948208e+01
201.6602,4.87806294e+01,4.86985390e+01
202.1484,4.61709256e+01,4.60942258e+01
202.6367,3.88972770e+01,3.88337478e+01
203.1250,3.53391223e+01,3.52809692e+01
203.6133,4.78015779e+01,4.77244152e+01
204.1016,4.63600160e+01,4.62857922e+01
204.5898,2.96074398e+01,2.95609353e+01
205.0781,3.52229300e+01,3.51685048e+01
205.5664,6.39323553e+01,6.38358208e+01
206.0547,6.04263262e+01,6.03316495e+01
206.5430,6.86508434e+01,6.85457577e+01
207.0312,6.50608302e+01,6.49614744e+01
207.5195,5.39431260e+01,5.38612258e+01
208.0078,5.09855193e+01,5.09103870e+01
208.4961,3.34119429e+01,3.33622740e+01
208.9844,3.77693303e+01,3.77148849e+01
209.4727,5.27324749e+01,5.26573958e+01
209.9609,5.97766780e+01,5.96933150e+01
210.4492,5.40428789e+01,5.39674955e+01
210.9375,5.55536015e+01,5.54768271e+01
211.4258,5.82357505e+01,5.81541072e+01
211.9141,6.51611204e+01,6.50714361e+01
212.4023,6.11524001e+01,6.10685819e+01
212.8906,5.76097949e+01,5.75308371e+01
213.3789,5.28785383e+01,5.28054627e+01
213.8672,5.34855715e+01,5.34131803e+01
214.3555,5.98046387e+01,5.97257619e+01
214.8438,5.66643149e+01,5.65915550e+01
215.3320,4.44813429e+01,4.44227684e+01
215.8203,5.33695070e+01,5.33020333e+01
216.3086,5.09434182e+01,5.08797481e+01
216.7969,3.76820515e+01,3.76357062e+01
217.2852,2.55083060e+01,2.54773442e+01
217.7734,1.68883896e+01,1.68679605e+01
218.2617,2.63119474e+01,2.62805908e+01
218.7500,2.52121904e+01,2.51821252e+01
219.2383,9.30849110e+00,9.29643339e+00
219.7266,1.54424546e+01,1.54239691e+01
220.2148,2.77667531e+01,2.77336932e+01
